TITLE,ISRC,WRITER_LAST,WRITER_FIRST,WRITER_IPI,WRITER_PRO,WRITER_SHARE_%,PUBLISHER_NAME,PUBLISHER_IPI,PUBLISHER_SHARE_%,RELEASE_DATE,LABEL,NOTES
Falling,USLZJ1989291,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-09-27,DirtySnatcha,solo write
Fat Bluntz,,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2018-10-08,DirtySnatcha,solo write - missing ISRC
Found Myself,QZ5FN2132637,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-02-05,DirtySnatcha,feat Katie Sky
Free,QZ5FN1992011,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-04-26,DirtySnatcha,solo write
Fuck Face,QM42K1854706,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2018-06-02,DirtySnatcha Records,solo write
Get Fucked,QM42K1831183,Bray,Leigh,01017500116,BMI,33.34,DirtySnatcha Records Publishing,1238282844,33.34,2018-08-21,DirtySnatcha Records,3-way split w Bass Systems + Rico Act
God Damn,QM42K1853983,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Good Vibez,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303169708
Hash,QM42K1601430,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,co-write Squnto (Eric Roth BMI 847679378) - NOTE: same ISRC as Pack Gats - verify
Head Bang,GBWUL2077085,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2020-04-24,DirtySnatcha,solo write
Head Drop,GBWUL1922930,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-11-15,DirtySnatcha,solo write | ISWC T9313709205
Heavy Duty,QM42K1907604,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-02-15,DirtySnatcha,solo write
Higher,QM42K1880165,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2018-08-31,Dead Cell Audio,Death & Destruction Vol I comp
Hoes,QM42K1607007,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Hold On,,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2022-01-07,Wubaholics,missing ISRC
Home,QZTV32416252,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2024-06-14,DirtySnatcha,feat. MES
Hot Girl Riddimm,QZHN71968576,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Hustler,QM42K1810908,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
I'm a Savage,USLZJ2122508,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-04-16,DirtySnatcha,Snatched Vol 2
IGDITB,QM42K1849049,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2018-07-14,DirtySnatcha Records,solo write
It Ain't Over,GBWUL2041081,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2020-03-13,DirtySnatcha,solo write
K.O.,GBRKQ2322533,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2023-04-07,DirtySnatcha,solo write | ISWC T3245484140
Keep Moving,QZTRX2132962,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2022-01-07,DirtySnatcha,solo write - confirmed 100% (corrected from 50%)
Krew,QM42K1810725,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,co-write Zachary Bommer
Losing Myself,,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2018-11-23,DirtySnatcha,solo write - missing ISRC
Love Is On Fire,CA5KR2019733,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2020-03-21,ElectroStep Network,co-write Foreign Twiinz
Lover,QZ5FN2068874,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2020-07-17,DirtySnatcha,solo write
Lover (Urbanstep Remix),USLZJ2286477,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2022-05-27,DirtySnatcha,co-write Juris Graubergers (Urbanstep)
More Than This,QZHCR2000101,Bray,Leigh,01017500116,BMI,33.34,DirtySnatcha Records Publishing,1238282844,33.34,2020-09-27,Subsidia,3-way split w Matt Doe + Katie Sky
Move,QM42K1847914,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2018-06-29,DirtySnatcha Records,co-write Renegvde
Move Back,QZ5FN2200966,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2022-01-30,DirtySnatcha,co-write Maarten Desmet (Point.Blank)
Need U,QZ5FN2012069,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2020-05-29,DirtySnatcha,co-write Autokorekt (Anthony Autolino BMI 00387582213)
Need U (Dobadly Remix),QZWDD2263341,Bray,Leigh,01017500116,BMI,16.67,DirtySnatcha Records Publishing,1238282844,16.67,,DirtySnatcha Records,3-way remix split
Not Letting Go,QM42K1941324,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-03-04,DirtySnatcha,solo write
Nu Fire,QM42K1895336,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2018-06-09,DirtySnatcha,co-write Elektrik Souls (Daniel Pottish BMI 1175105870)
Old School,GBRKQ2277569,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,co-write Simon Sheehan
Pack Gats,QM42K1601430,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,NOTE: same ISRC as Hash - must resolve before submitting
Pimpin,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303256062
Price Wasted,QZ5FN1978630,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2019-04-04,DirtySnatcha,co-write Cole Parkey (BMI 00859008809)
Rollercoaster,,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write - missing ISRC | ISWC T3252386639
Run It Up,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303169504
Rush,QM42K1815208,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-01-04,DirtySnatcha,solo write
Set Me Free,USLZJ1903529,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-05-10,DirtySnatcha,solo write
Shake The Block,USLZJ1922758,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-06-14,DirtySnatcha,Snatched Vol.1
Shatter,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303256197
She Bangs Like a Fairy on Acid,QZZ8A2432901,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2024-10-18,DirtySnatcha,co-write Emily Rose (Luci) BMI 649339116
SKRRR,QM42K1824431,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Smoke Dat,QM42K1953240,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Spacecraft,GBRKQ2382127,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2023-04-28,DirtySnatcha,solo write | ISWC T3245483896 - note: different track from Spaceship
Spaceship,QZHCR2100041,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-03-03,Subsidia,solo write
Step Aside,USLZJ1922798,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-06-14,DirtySnatcha,Snatched Vol.1
Still That,QM42K1793718,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Style,,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,co-write McKenzie Morrow - missing ISRC | ISWC T3090728993
SuperSonic VIP,,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,missing ISRC + release data
Swerve,QM42K1607924,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Take Me Up,USLZJ2122517,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-04-16,DirtySnatcha,Snatched Vol 2
Take You Higher,QZ5FN2063441,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DSV Audio,solo write
Tear Up,QM42K1908356,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2019-03-15,DirtySnatcha,solo write
The Journey,,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2018-12-13,DirtySnatcha,solo write - missing ISRC
Thin Air,QM42K1856648,Bray,Leigh,01017500116,BMI,33.34,DirtySnatcha Records Publishing,1238282844,33.34,2018-02-10,DirtySnatcha Promotions,3-way split w Herculez + Lucas Lahood
Tonight,GBRKQ2121249,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-06-28,DirtySnatcha,ISWC T3245484071
Vibrate,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303255763
Voices,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303169560
Westside Rollin,USLZJ1922760,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,NEEDS ISRC VERIFICATION AT BMI
