"Product Type","Product Id","Product Title","Product Version","Product Display Artist","Parent Label","Label","Original Release Date","Release Date","UPC","Catalog #","Product Price Tier","Product Genre","Submission Status","Product C Line","Product P Line","Pre-Order Date","Exclusives","ExplicitLyrics","Product Play Link","Liner Notes","Primary Metadata Language","Compilation","PDF Booklet","Timed Release Date","Timed Release Music Services","Last Process Date","Import Date","Created By","Last Modified","Submitted At","Submitted By","Vevo Channel","TrackType","Track Id","Track Volume","Track Number","Track Name","Track Version","Track Display Artist","Isrc","Track Price Tier","Track Genre","Audio Language","Track C Line","Track P Line","Writers/Composers","Publishers/Collection Societies","Withhold Mechanicals","Pre-Order Type","Instant Gratification Date","Duration","Sample Start Time","Explicit Lyrics","Album Only","Lyrics","Performing Contributors","Non-Performing Contributors","Producers","Full Continuous Mix","Continuously Mixed Individual Song","Track Play Link"
"Audio","67166ee6126997c258b6d897","Rudeboy","","Kryture, SEEING\\DOUBLE","EDM Spotlight","Dirtysnatcha Records","3/20/2020","3/20/2020",="198342476352","DSR07","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"11/4/2024","11/4/2024","josh.erickson@ingrooves.com","11/4/2024","11/2/2024",,,"AudioTrack","67166ee6126997c258b6d896",="1",="1","Rudeboy","","Kryture, SEEING\\DOUBLE","GBWUL2045907","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Panagiotis Karzis <Writer>, Panagiotis Karzis <Composer>, Galium Boyles <Writer>, Galium Boyles <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:00""","","yes","no","Damn Fucking right 
Pump Me gun
What
Draft the beers
Damn Fucking Right
Pump me gun
Rudeboys
what","","","Panagiotis Karzis,Galium Boyles","False","False",
"Audio","67166ee1126997c258b6d887","Game Time","","Autokorekt, Eazley feat. Rico Act","EDM Spotlight","Dirtysnatcha Records","2/10/2020","2/10/2020",="198342476338","DSR06","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"10/25/2024","10/25/2024","josh.erickson@ingrooves.com","10/25/2024","10/25/2024",,,"AudioTrack","67166ee1126997c258b6d886",="1",="1","Game Time","","Autokorekt, Eazley feat. Rico Act","GBWUL2023530","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Anthony Autolino <Writer>, Anthony Autolino <Composer>, Alfred Rice <Writer>, Alfred Rice <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:03:39""","","yes","no","Rico Act
I  just counted 40k on a fat yacht. You disrespect me, I take everything your ass got Fuck a rope, I got duct tape and padlock Plant you in a vault and turn your crib into the crack spot. Infirmity inside my brain, I think I need some guidance The lady said, what's your emergency? I kept it silent Punching on a beautiful pair of cinder blocks Smack you in the mouth with a folding chair and cooking pot No time for the night, who the fuck is this? Foul play, stuck up in my logic, that shit make me sick One way ticket if you talk about us wrong, bitch First you talking crazy, next week you riding on my dick 50 homies in a trap and we paid blind A hundred going slow then we be doing game signs 150,000 felines and canines 200,000 watts banging on the baseline 250 on the bounty, game time 250 on the bounty, game time Game time First you talking crazy, next week you riding on my dick 50 homies in a trap and we paid blind A hundred going slow then we be doing game signs 150,000 felines and canines 200,000 watts banging on the baseline 250 on the bounty, game time You disrespect me, I take everything your ass got Fuck a rope, I got duct tape and padlock Plans you ain't a vault and turn your crib into the crack spot Infirmity inside my brain, I think I need some guidance The lady said, what's your emergency? I kept it silent Punching on a beautiful pair of cinder blocks Smack you in the mouth with a folding chair and cooking pot No time for the night, who the fuck is this? Foul play, stuck up in my logic, that shit make me sick One way ticket if you talk about us wrong, bitch First you talking crazy, next week you riding on my dick 50 homies in a trap and we paid blind A hundred going slow then we be doing game signs 150,000 felines and canines Game time Game time Next week you riding on my dick","","","Anthony Autolino","False","False",
"Audio","67167375b57030fe904f565c","Flatline","","Gomperz","EDM Spotlight","Dirtysnatcha Records","11/21/2023","11/21/2023",="197999449672","DSR111","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","","","no",,"","English","False","",,,"10/29/2024","10/29/2024","josh.erickson@ingrooves.com","10/29/2024","10/29/2024",,,"AudioTrack","67167375b57030fe904f565b",="1",="1","Flatline","","Gomperz","QZZ8B2311175","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","Tyler Twyford <Writer>, Tyler Twyford <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:40""","","no","no","it's a good day to die. please help me. It's a good day to die. It's a good day to die. please help me","","","Tyler Twyford","False","False",
"Audio","6716737e126997c258b704d8","Take A Trip","DirtySnatcha Remix","HEXED, Labs","EDM Spotlight","Dirtysnatcha Records","1/20/2023","1/20/2023",="198342492369","DSR86","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","","","no",,"","English","False","",,,"10/30/2024","10/30/2024","josh.erickson@ingrooves.com","10/30/2024","10/30/2024",,,"AudioTrack","6716737e126997c258b704d7",="1",="1","Take A Trip","DirtySnatcha Remix","HEXED, Labs","QZ5FN2303924","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","Jeff Mathews <Writer>, Jeff Mathews <Composer>, Leigh Bray <Writer>, Leigh Bray <Composer>, Michael Gruden <Writer>, Michael Gruden <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:04:03""","","no","no","DirtySnatcha
Going up
Going up, up, up
Just sit back and relax
We about to take a trip
Just sit back and relax
We about to take a trip
Going up, up, up
Bustin′ out the lick
Just sit back and relax
We about to take a trip
Just sit back and relax
We about to take a trip
Yeah
I can tell you feeling lit
I am too high admit
Going up, going, going up
I'm bustin′ out the lick
Taking off I'm headed for the clouds
Hop in my spaceship
Just sit back and relax
We about to take a trip
Going up, going up
Going up, going up
Going, going up
I'm bustin′ out the lick
Going up, up, up
Bustin′ out the lick
Taking off
Hop in my spaceship
Taking off
Hop in my spaceship
Going up, up, up
Bustin' out the lick
Just sit back and relax
We about to take a trip
Just sit back and relax
We about to take a trip","","","Leigh Bray","False","False",
"Audio","6716737eb57030fe904f575a","Keep Moving","Audigy Remix","DirtySnatcha","EDM Spotlight","Dirtysnatcha Records","10/6/2023","10/6/2023",="197999143198","DSR104","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","","","no",,"","English","False","",,,"10/30/2024","10/30/2024","josh.erickson@ingrooves.com","10/30/2024","10/30/2024",,,"AudioTrack","6716737eb57030fe904f5759",="1",="1","Keep Moving","Audigy Remix","DirtySnatcha","QZWV32320452","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","Ernesto Rizzi <Writer>, Ernesto Rizzi <Composer>, Leigh Bray <Writer>, Leigh Bray <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:03:31""","","no","no","wanna see ya moving,
Moving
wanna see ya moving,
Moving
wanna see ya moving,  
Moving
wanna see ya moving, 
moving
Wanna Sea ya
See ya moving
Wanna Sea ya
See ya moving
Wanna Sea ya
See ya moving
keep keep moving
keep keep moving
bounce bounce
wanna see ya moving
See ya moving
keep keep moving
keep keep moving
bounce bounce
wanna see ya moving
See ya moving
keep keep moving
keep keep moving","","","Ernesto Rizzo","False","False",
"Audio","6716750e126997c258b7161c","Wasting Time With You","","Ennaut","EDM Spotlight","Dirtysnatcha Records","6/7/2024","6/7/2024",="198342816899","DSR135","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no",,"","English","False","",,,"10/23/2024","10/23/2024","josh.erickson@ingrooves.com","10/23/2024","10/23/2024",,,"AudioTrack","6716750e126997c258b7161b",="1",="1","Wasting Time With You","","Ennaut","QZTV32404283","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Jason Moss <Writer>, Jason Moss <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:31""","","yes","no","Wasting Time With You

Wasting my time with you,
But I like it, I like it too.
I’m wasting away, it’s true,
But I like wasting time with you.
Wasting Time With You

Wasting my time with you,
But I like it, I like it too.
I’m wasting away, it’s true,
But I like wasting time with you.

Turn it the fuck up!

Turn it the fuck up
Wasting my time with you,
But I like it, I like it too.
I’m wasting away, it’s true,
But I like wasting time with you.
Wasting Time With You

Wasting my time with you,
But I like it, I like it too.
I’m wasting away, it’s true,
But I like wasting time with you.

Turn it the fuck up!","","","Jason Moss","False","False",
"Audio","6716750f7056a2b18cfd8f71","Clean Slate","","Blue feat. JHornz","EDM Spotlight","Dirtysnatcha Records","3/15/2024","3/15/2024",="198342095089","DSR129","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no",,"","English","False","",,,"10/23/2024","10/23/2024","josh.erickson@ingrooves.com","10/23/2024","10/23/2024",,,"AudioTrack","6716750f7056a2b18cfd8f70",="1",="1","Clean Slate","","Blue feat. JHornz","USLZJ2430079","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Christopher Harris <Writer>, Christopher Harris <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:02:25""","","no","no","With the pick 6 and a clean slate

You play the game… my team… wins by a landslide

Why you lookin funny 

Yeah
You can play the game, my wins by a landslide

Why you lookin funny tellin stories by the campfire

We living legends, you can talk about us later

We harder then the scales on a thousand pound gater 

And to the haters, ima see you later

We move more in a minute than the particles you’re made of 

The acid takes you up m, but the greatness makes you stay up

Buy yourself a ticket, take a ride up in my space ship

With the pick six and a clean slate,
Real no cap
Clean Slate 
No cap
With the pick 6 and a clean slate 
Real no cap
Clean Slate 
No cap

And to the haters, ima see you later

We move more in a minute than the particles you’re made of 

The acid takes you up but the greatness makes you stay up

Buy yourself a ticket, take a ride up in my space ship 

With the pick six and a clean slate,
Real no cap
Clean Slate 
No cap
With the pick 6 and a clean slate 
Real no cap
Clean Slate 
No cap

Dilated pupils on a mystics grind

Lost in the cosmos where dreams rewind

Poet in the nebula, lyricist in the void

Every verse is super nova, every line brings joy

And to the haters, ima see you later
We move more in a minute than the particles you’re made of 

The acid takes you up but the greatness makes you stay up

Buy yourself a ticket, take a ride up in my space ship

You play the game… my team… wins by a landslide…","","","Christopher Harris","False","False",
"Audio","671673707056a2b18cfd770c","Slacka","","Geeku","EDM Spotlight","Dirtysnatcha Records","12/15/2023","12/15/2023",="197999687128","DSR115","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","","","no",,"","English","False","",,,"10/29/2024","10/29/2024","josh.erickson@ingrooves.com","10/29/2024","10/29/2024",,,"AudioTrack","671673707056a2b18cfd770b",="1",="1","Slacka","","Geeku","QZZEB2351140","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","Nakeem Richardson <Writer>, Nakeem Richardson <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:03:31""","","yes","no","I aint slapped a bitch slapped a bitch slapped a bitch slapped a bitch slapped a bitch in two weeks.","","","Nakeem Richardson","False","False",
"Audio","67167370126997c258b704b7","The Tundra","","Barooka","EDM Spotlight","Dirtysnatcha Records","2/23/2024","2/23/2024",="197999919410","DSR120","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no",,"","English","False","",,,"10/25/2024","10/25/2024","josh.erickson@ingrooves.com","10/25/2024","10/24/2024",,,"AudioTrack","67167370126997c258b704b3",="1",="1","iDISTORT","","Barooka","QZ5FN2461919","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Michael Thomas <Writer>, Michael Thomas <Composer>, Mike Silva <Writer>, Mike Silva <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:12""","","no","no","iDistort
IDistort","","","Michael Thomas,Mike Silva","False","False",
"Audio","67167370126997c258b704b7","The Tundra","","Barooka","EDM Spotlight","Dirtysnatcha Records","2/23/2024","2/23/2024",="197999919410","DSR120","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no",,"","English","False","",,,"10/25/2024","10/25/2024","josh.erickson@ingrooves.com","10/25/2024","10/24/2024",,,"AudioTrack","67167370126997c258b704b4",="1",="2","Pressure","","Barooka","QZ5FN2461916","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Michael Thomas <Writer>, Michael Thomas <Composer>, Mike Silva <Writer>, Mike Silva <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:12""","","no","no","Pressure
Pressure","","","Mike Silva,Michael Thomas","False","False",
"Audio","67167370126997c258b704b7","The Tundra","","Barooka","EDM Spotlight","Dirtysnatcha Records","2/23/2024","2/23/2024",="197999919410","DSR120","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no",,"","English","False","",,,"10/25/2024","10/25/2024","josh.erickson@ingrooves.com","10/25/2024","10/24/2024",,,"AudioTrack","67167370126997c258b704b5",="1",="3","Screechboi","","Barooka","QZ5FN2445584","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Michael Thomas <Writer>, Michael Thomas <Composer>, Mike Silva <Writer>, Mike Silva <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:12""","","no","no","screechboi","","","Mike Silva,Michael Thomas","False","False",
"Audio","67167370126997c258b704b7","The Tundra","","Barooka","EDM Spotlight","Dirtysnatcha Records","2/23/2024","2/23/2024",="197999919410","DSR120","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no",,"","English","False","",,,"10/25/2024","10/25/2024","josh.erickson@ingrooves.com","10/25/2024","10/24/2024",,,"AudioTrack","67167370126997c258b704b6",="1",="4","Icepick","","Barooka","QZ5FN2445564","$0.91 ($1.29 SRLP) - T3","Dubstep","No Linguistic Content","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Michael Thomas <Writer>, Michael Thomas <Composer>, Mike Silva <Writer>, Mike Silva <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:18""","","no","no","","","","Mike Silva,Michael Thomas","False","False",
"Audio","67167373126997c258b704c2","Killas","","Bandido, Tmbrwlf","EDM Spotlight","Dirtysnatcha Records","11/24/2023","11/24/2023",="197999456380","DSR112","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","","","no",,"","English","False","",,,"10/24/2024","10/24/2024","josh.erickson@ingrooves.com","10/24/2024","10/24/2024",,,"AudioTrack","67167373126997c258b704c1",="1",="1","Killas","","Bandido, Tmbrwlf","QZZ8B2315613","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","Andrew Potter <Writer>, Andrew Potter <Composer>, Aaron Lopez <Writer>, Aaron Lopez <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:02:27""","","yes","no","You're fuckin with some killas
Come on","","","Andrew Potter,Aaron Lopez","False","False",
